ID,Title,Description,Thumbnail url,Channel name,Views,Likes,Comments,Duration in seconds,Duration in minutes,Duration in timestamp,Duration,Uploaded Time,Video url,TOPICS,TOPIC SEQ,Parse
1,Introduction to Java Language and it's features || Java | Code Decode,"In this video we have covered Introduction to Java Language and it's features.

Udemy Course of Code Decode on Microservice k8s AWS CICD link:
https://openinapp.co/udemycourse

Course Description Video : 
https://yt.openinapp.co/dmjvd



Angular 8 Tutorial:
https://www.youtube.com/watch?v=CAl7RQSdq2Q&list=PLyHJZXNdCXsfxRtDwtGkDD_lLfTWc1g0i



#Java #JavaTutorial #JavaTutorialForBegineers #WhatIsJava",https://i.ytimg.com/vi/OsqaAq0W6oY/maxresdefault.jpg,Code Decode,57345,405,4,359,5.98,05:59,"5 Minutes, 59 Seconds",2019-09-09T18:57:42,https://www.youtube.com/watch?v=OsqaAq0W6oY,Java,1,No
2,"Difference between JDK, JRE and JVM || JVM, JDK and  JRE Java 8 | Code Decode","In this video of code decode we have discussed about the difference between #JDK  #JRE and #jvm 

Udemy Course of Code Decode on Microservice k8s AWS CICD link:
https://openinapp.co/udemycourse

Course Description Video : 
https://yt.openinapp.co/dmjvd

Along with this we will also talk about how java is platform independent.

Difference between jdk,jre and jvm
Difference between jvm,jre and jdk
Difference between jdk,jvm and jre

What is JDK?

JDK is a superset of JRE. JDK contains everything that JRE has, along with development tools for developing, debugging, and monitoring Java applications. 
You need JDK when you need to develop Java applications.
Same as JREs, JDKs are also platform dependent. So take care when you download the 
JDK package for your machine.

JDK = JRE + Development Tools

What is JRE ?
JRE (Java Runtime Environment) is a software package that provides Java class libraries, along with Java Virtual Machine (JVM), and other components to run applications written in Java programming. JRE is the superset of JVM.  If you need to run Java programs, but not develop them, JRE is what you need.


What is JVM ?
Java Virtual machine (JVM) is the virtual machine that runs the Java bytecodes. You get this bytecode by compiling the .java files into .class files. .class files contain the bytecodes understood by the JVM.
 
What is JIT ?

The JIT compiler. The Just-In-Time (JIT) compiler is a component of the runtime environment that improves the performance of Java™ applications by compiling bytecodes to native machine code at run time. When a method has been compiled, the JVM calls the compiled code of that method directly instead of interpreting it.

Connect us on Facebook : 
https://www.facebook.com/Code-Decode-113333063376925/

Angular 8 Playlist : 
https://www.youtube.com/playlist?list=PLyHJZXNdCXsfxRtDwtGkDD_lLfTWc1g0i

Java Playlist : 
https://www.youtube.com/watch?v=OsqaAq0W6oY&list=PLyHJZXNdCXsdWEXkvki9SyWNMcChAl8su

#codedecode #java #javainterviewquestions",https://i.ytimg.com/vi/d6bi2DXJt_0/maxresdefault.jpg,Code Decode,40246,455,13,471,7.85,07:51,"7 Minutes, 51 Seconds",2019-09-29T06:31:22,https://www.youtube.com/watch?v=d6bi2DXJt_0,Java,1,No
3,"Workspace setup, Hello World Program in Java || Java 8","Workspace setup in java and Hello world program in java are included in this video 

Also we have included how to install java jdk and setup java path.

We have made our first java program i.e. Hello World program

Link for Jdk1.8 and STS are given below 

https://www.oracle.com/technetwork/java/javase/downloads/jdk8-downloads-2133151.html

https://spring.io/tools",https://i.ytimg.com/vi/2rU5YvYZxS8/maxresdefault.jpg,Code Decode,12439,76,3,422,7.03,07:02,"7 Minutes, 2 Seconds",2019-10-30T20:25:47,https://www.youtube.com/watch?v=2rU5YvYZxS8,Java,1,Yes
4,Variables in Java Part-1 || Java 8,"In this video we have covered What is variables in Java.

Also we have discussed about the types of variables in Java.

Apart from that we have briefly discussed about the Instance variable and local variable in Java

Java tutorial | Variable in Java
Types of variable in java
How many types of variable in Java
Java tutorial for beginners 
What is the difference between instance and local variable in java
Java variables 

#variable #java #codedecode",https://i.ytimg.com/vi/-C8YsVhMLhQ/maxresdefault.jpg,Code Decode,11773,81,0,662,11.03,11:02,"11 Minutes, 2 Seconds",2019-11-03T19:42:43,https://www.youtube.com/watch?v=-C8YsVhMLhQ,Java,1,No
5,Objects and Classes in Java | Code Decode,"In this video we  will see how to convert any real world entity into classes in java.

Udemy Course of Code Decode on Microservice k8s AWS CICD link:
https://openinapp.co/udemycourse

Course Description Video : 
https://yt.openinapp.co/dmjvd

We will also cover how to create different objects of same class and how they have their own set of values for their properties.

also will cover :
- Class and Object
- Example of a Class and an Object
- Create a Class in Java
- new keyword
- Creating variables
- Creating a method / Defining method
- Accessing variables
- Creating Object
- Assigning values through object

 also we will see how to use Classes and Objects in Java, OO Programming Concepts, Creating Objects and Object Reference Variables,


Basic Concepts of Object Oriented Programming |
Object Oriented Programming Concepts |
object and class | OOPS concepts,
Concept of OOP(Object Oriented Programming) |
Object Oriented Programming Concepts,
oops concepts with examples,
What is an Object Oriented Programming ,
Why Object Oriented Programming,
What is Object Oriented Programming (OOPS)? Simple Explanation for Beginners,
Java OOPs Concepts | Object Oriented Programming | Java Tutorial For Beginners,
Object-Oriented Programming,
Introduction to Classes, Objects and Methods in Java with example,
Classes, Objects, Methods | Java Object Oriented Programming Video Tutorials,
Defining Class in Java,
Java Tutorial For Beginners - Classes and Objects in Java,
Java Programming Lecture: Classes and Objects,
Java Tutorial | Class and Object,
Java OOPS Concepts,
Java: Classes, Objects, and Method,",https://i.ytimg.com/vi/XMB0CrfEHdM/maxresdefault.jpg,Code Decode,21457,220,4,929,15.48,15:29,"15 Minutes, 29 Seconds",2020-01-15T05:26:02,https://www.youtube.com/watch?v=XMB0CrfEHdM,Java,1,No
6,Constructors in Java || Types of Constructors in Java || Java Constructor tutorial | Code Decode,"Constructors in Java,Types of Constructor in Java

Udemy Course of Code Decode on Microservice k8s AWS CICD link:
https://openinapp.co/udemycourse

Course Description Video : 
https://yt.openinapp.co/dmjvd

Java constructor tutorial, Constructor Overloading, Types of Java Constructors,
Constructor in java Tutorial with example (Object creation) (Lecture),
Java Programming Tutorial  - Constructors,
Default Constructor in Java 
Parameterized Constructor in Java
Constructor in Java Theory,
Corejava - Basics - Constructor in java
Constructor Example in Java,
Constructor in Java | Java Tutorial for Beginners
What is Constructor in Java Programming
constructor overloading.

In this video we will see :
- What is constructor
- Example of Constructor
- How to create constructor
- Default constructor
- Characteristics of Constructor
- Assigning value through constructor
- Parameterized Constructor


Providing Constructors for Your Classes 
Understanding constructors
Searches related to java constructor
java constructor example
constructor java tutorial
java constructor class
java constructor definition
java default constructor",https://i.ytimg.com/vi/uCKtRcXYsFM/maxresdefault.jpg,Code Decode,16751,137,11,515,8.58,08:35,"8 Minutes, 35 Seconds",2020-01-19T09:31:36,https://www.youtube.com/watch?v=uCKtRcXYsFM,Java,1,No
7,Instance variables in Java (Types of variables - Part 2) | Code Decode,"Instance variables in Java.

Udemy Course of Code Decode on Microservice k8s AWS CICD link:
https://openinapp.co/udemycourse

Course Description Video : 
https://yt.openinapp.co/dmjvd

Link for local variables in java : 
https://youtu.be/bjTAnpXO2LA",https://i.ytimg.com/vi/3QjWqGa9i6I/maxresdefault.jpg,Code Decode,9013,85,2,655,10.92,10:55,"10 Minutes, 55 Seconds",2020-01-23T05:21:32,https://www.youtube.com/watch?v=3QjWqGa9i6I,Java,1,Yes
8,Local Variables in Java  (Types of variables - Part 3) | Code Decode,"Local Variables in Java ||  Java - Local Variables || 

Udemy Course of Code Decode on Microservice k8s AWS CICD link:
https://openinapp.co/udemycourse

Course Description Video : 
https://yt.openinapp.co/dmjvd

Link for static variables in java :
https://youtu.be/7k9mNoCwZqI

THREE TYPES OF VARIABLES
1) LOCAL VARIABLES
2) INSTANCE VARIABLES
3) STATIC VARIABLES 

#javaprogrammingforbeginners, #javalectures, #typesofvariablesinjava


In this beginners video tutorial you will learn about the local variable and variable scopes in java programming language in detail with example.

This video lecture teaches about the variable scope i.e where the variables are accessible, what are local variables,how to create a code block,blocks scope,what is the use of them, where methods can be used in detail with example.

Java Tutorial : Java Variables (Local Variables, Instance Variables, Static Variables).",https://i.ytimg.com/vi/bjTAnpXO2LA/maxresdefault.jpg,Code Decode,6654,74,7,559,9.32,09:19,"9 Minutes, 19 Seconds",2020-01-26T12:48:46,https://www.youtube.com/watch?v=bjTAnpXO2LA,Java,1,No
9,Types of variables in Java - Theory - Part 1 | Code Decode,"Types of variables in Java - Theory

Udemy Course of Code Decode on Microservice k8s AWS CICD link:
https://openinapp.co/udemycourse

Course Description Video : 
https://yt.openinapp.co/dmjvd

Instance Variables in java Practical implementation: 
https://youtu.be/3QjWqGa9i6I

Local Variables in java Practical implementation: 
https://youtu.be/bjTAnpXO2LA

THREE TYPES OF VARIABLES
1) LOCAL VARIABLES
2) INSTANCE VARIABLES
3) STATIC VARIABLES 


What exactly is variable?
Variable is a name of memory location. 
variable types in java.


#javaprogrammingforbeginners, #javalectures, #typesofvariablesinjava",https://i.ytimg.com/vi/GqcxCvPk3mg/maxresdefault.jpg,Code Decode,9934,111,7,731,12.18,12:11,"12 Minutes, 11 Seconds",2020-01-27T19:11:44,https://www.youtube.com/watch?v=GqcxCvPk3mg,Java,1,No
10,Static Variables in Java || Java Interview Questions and Answers | Code Decode,"Static Variables in Java
Java static Variables 

Udemy Course of Code Decode on Microservice k8s AWS CICD link:
https://openinapp.co/udemycourse

Course Description Video : 
https://yt.openinapp.co/dmjvd

static variables java,java static,java static vs non staticjava static variables,java static variables and methods, java static keyword,java static initializer block hackerrank solution,java static methods,java static initializer block,java static class ,java static block,java static keyword in hindi,java static and non static,static in java,static variables java,non static method in java, static methods in java,static keyword in java,static keyword in java with example",https://i.ytimg.com/vi/7k9mNoCwZqI/maxresdefault.jpg,Code Decode,13439,156,10,701,11.68,11:41,"11 Minutes, 41 Seconds",2020-02-01T11:07:11,https://www.youtube.com/watch?v=7k9mNoCwZqI,Java,1,No
